町名,よみ,グループ
井口一丁目,いのくち1ちょうめ,11
井口二丁目,いのくち2ちょうめ,11
井口三丁目,いのくち3ちょうめ,11
井口四丁目,いのくち4ちょうめ,11
井口五丁目,いのくち5ちょうめ,11
井口鈴が台一丁目,いのくちすずがだい1ちょうめ,10
井口鈴が台二丁目,いのくちすずがだい2ちょうめ,10
井口鈴が台三丁目,いのくちすずがだい3ちょうめ,10
井口台一丁目,いのくちだい1ちょうめ,4
井口台二丁目,いのくちだい2ちょうめ,4
井口台三丁目,いのくちだい3ちょうめ,4
井口台四丁目,いのくちだい4ちょうめ,4
井口町,いのくちちょう,4
井口明神一丁目,いのくちみょうじん1ちょうめ,9
井口明神二丁目,いのくちみょうじん2ちょうめ,9
井口明神三丁目,いのくちみょうじん3ちょうめ,9
打越町,うちこしちょう,21
扇一丁目,おうぎ1ちょうめ,3
扇二丁目,おうぎ2ちょうめ,3
大芝一丁目,おおしば1ちょうめ,20
大芝二丁目,おおしば2ちょうめ,20
大芝三丁目,おおしば3ちょうめ,20
大芝公園,おおしばこうえん,20
大宮一丁目,おおみや1ちょうめ,19
大宮二丁目,おおみや2ちょうめ,19
大宮三丁目,おおみや3ちょうめ,19
小河内町一丁目,おがうちまち1ちょうめ,18
小河内町二丁目,おがうちまち2ちょうめ,18
上天満町,かみてんまちょう,18
観音新町一丁目,かんおんしんまち1ちょうめ,2
観音新町二丁目,かんおんしんまち2ちょうめ,2
観音新町三丁目,かんおんしんまち3ちょうめ,2
観音新町四丁目,かんおんしんまち4ちょうめ,2
観音本町一丁目,かんおんほんまち1ちょうめ,18
観音本町二丁目,かんおんほんまち2ちょうめ,18
観音町,かんおんまち,18
草津梅が台,くさつうめがだい,12
草津港一丁目,くさつこう1ちょうめ,9
草津港二丁目,くさつこう2ちょうめ,9
草津港三丁目,くさつこう3ちょうめ,9
草津新町一丁目,くさつしんまち1ちょうめ,9
草津新町二丁目,くさつしんまち2ちょうめ,9
草津浜町,くさつはままち,12
草津東一丁目,くさつひがし1ちょうめ,1
草津東二丁目,くさつひがし2ちょうめ,1
草津東三丁目,くさつひがし3ちょうめ,1
草津本町,くさつほんまち,12
草津南一丁目,くさつみなみ1ちょうめ,12
草津南二丁目,くさつみなみ2ちょうめ,12
草津南三丁目,くさつみなみ3ちょうめ,12
草津南四丁目,くさつみなみ4ちょうめ,12
楠木町一丁目,くすのきちょう1ちょうめ,20
楠木町二丁目,くすのきちょう2ちょうめ,20
楠木町三丁目,くすのきちょう3ちょうめ,20
楠木町四丁目,くすのきちょう4ちょうめ,20
己斐上一丁目,こいうえ1ちょうめ,13
己斐上二丁目,こいうえ2ちょうめ,13
己斐上三丁目,こいうえ3ちょうめ,13
己斐上四丁目,こいうえ4ちょうめ,13
己斐上五丁目,こいうえ5ちょうめ,13
己斐上六丁目,こいうえ6ちょうめ,13
己斐大迫一丁目,こいおおさこ1ちょうめ,13
己斐大迫二丁目,こいおおさこ2ちょうめ,13
己斐大迫三丁目,こいおおさこ3ちょうめ,13
己斐中一丁目,こいなか1ちょうめ,14
己斐中二丁目,こいなか2ちょうめ,14
己斐中三丁目,こいなか3ちょうめ,14
己斐西町,こいにしまち,15
己斐東一丁目,こいひがし1ちょうめ,15
己斐東二丁目,こいひがし2ちょうめ,15
己斐本町一丁目,こいほんまち1ちょうめ,14
己斐本町二丁目,こいほんまち2ちょうめ,14
己斐本町三丁目,こいほんまち3ちょうめ,14
己斐町,こいまち,13
庚午北一丁目,こうごきた1ちょうめ,7
庚午北二丁目,こうごきた2ちょうめ,16
庚午北三丁目,こうごきた3ちょうめ,16
庚午北四丁目,こうごきた4ちょうめ,7
庚午中一丁目,こうごなか1ちょうめ,7
庚午中二丁目,こうごなか2ちょうめ,7
庚午中三丁目,こうごなか3ちょうめ,7
庚午中四丁目,こうごなか4ちょうめ,7
庚午南一丁目,こうごみなみ1ちょうめ,3
庚午南二丁目,こうごみなみ2ちょうめ,3
商工センター一丁目,しょうこうせんたあ1ちょうめ,9
商工センター二丁目,しょうこうせんたあ2ちょうめ,9
商工センター三丁目,しょうこうせんたあ3ちょうめ,9
商工センター四丁目,しょうこうせんたあ4ちょうめ,9
商工センター五丁目,しょうこうせんたあ5ちょうめ,9
商工センター六丁目,しょうこうせんたあ6ちょうめ,9
商工センター七丁目,しょうこうせんたあ7ちょうめ,9
商工センター八丁目,しょうこうせんたあ8ちょうめ,9
新庄町,しんじょうちょう,19
鈴が峰町,すずがみねちょう,5
高須一丁目,たかす1ちょうめ,16
高須二丁目,たかす2ちょうめ,16
高須三丁目,たかす3ちょうめ,16
高須四丁目,たかす4ちょうめ,16
高須台一丁目,たかすだい1ちょうめ,17
高須台二丁目,たかすだい2ちょうめ,17
高須台三丁目,たかすだい3ちょうめ,17
高須台四丁目,たかすだい4ちょうめ,17
高須台五丁目,たかすだい5ちょうめ,17
高須台六丁目,たかすだい6ちょうめ,17
田方一丁目,たかた1ちょうめ,5
田方二丁目,たかた2ちょうめ,5
田方三丁目,たかた3ちょうめ,5
天満町,てんまちょう,18
中広町一丁目,なかひろまち1ちょうめ,22
中広町二丁目,なかひろまち2ちょうめ,22
中広町三丁目,なかひろまち3ちょうめ,22
西観音町,にしかんおんまち,18
東観音町,ひがしかんおんまち,18
福島町一丁目,ふくしまちょう1ちょうめ,18
福島町二丁目,ふくしまちょう2ちょうめ,18
古江上一丁目,ふるえうえ1ちょうめ,5
古江上二丁目,ふるえうえ2ちょうめ,5
古江新町,ふるえしんまち,6
古江西町,ふるえにしまち,4
古江東町,ふるえひがしまち,4
古田台一丁目,ふるただい1ちょうめ,5
古田台二丁目,ふるただい2ちょうめ,5
三篠北町,みささきたまち,20
三篠町一丁目,みささまち1ちょうめ,20
三篠町二丁目,みささまち2ちょうめ,20
三篠町三丁目,みささまち3ちょうめ,20
三滝本町一丁目,みたきほんまち1ちょうめ,19
三滝本町二丁目,みたきほんまち2ちょうめ,19
三滝町,みたきまち,21
三滝山,みたきやま,19
南観音一丁目,みなみかんおん1ちょうめ,8
南観音二丁目,みなみかんおん2ちょうめ,8
南観音三丁目,みなみかんおん3ちょうめ,8
南観音四丁目,みなみかんおん4ちょうめ,8
南観音五丁目,みなみかんおん5ちょうめ,8
南観音六丁目,みなみかんおん6ちょうめ,8
南観音七丁目,みなみかんおん7ちょうめ,8
南観音八丁目,みなみかんおん8ちょうめ,8
南観音町,みなみかんおんまち,18
都町,みやこまち,18
山田新町一丁目,やまだしんまち1ちょうめ,5
山田新町二丁目,やまだしんまち2ちょうめ,5
山田町,やまだちょう,5
山手町,やまてちょう,19
横川新町,よこがわしんまち,21
横川町一丁目,よこがわちょう1ちょうめ,21
横川町二丁目,よこがわちょう2ちょうめ,21
横川町三丁目,よこがわちょう3ちょうめ,21
竜王町,りゅうおうちょう,19
